service_type,parent_service_type,Notes
Financial Assistance,Disaster,
Individual Financial Assistance,Financial Assistance,
Transportation Assistance,Financial Assistance,
Other Financial Assistance,Financial Assistance,
Mortgage Assistance,Financial Assistance,
Rental Assistance,Financial Assistance,
Construction Assistance,Financial Assistance,
Utilities Assistance,Financial Assistance,
Other Financial Assistance for Housing,Financial Assistance,
Services,Disaster,
Language,Services,"Translation, Interpretation, SIgn, etc"
Legal,Services,
Medical/Health Care,Services,
Child Care,Services,
Adult Care,Services,
Senior Care,Services,
Access & Functional Needs,Services,
Employment,Services,
Financial,Services,
Tax,Services,
IT,Services,
Case Management,Services,
Mental Health & Crisis Counseling,Services,
Document & Certificate Assistance,Services,
Benefits Assistance,Services,
Advocacy,Services,
Business Services,Services,
Mediation,Services,
Food/Meals & Pantry,Services,
Animals,Services,
Housing Assistance,Services,
Transportation Services,Services,
Other Services,Services,
For Home Owners,Services,
For Renters,Services,
Eviction Prevention,Services,
Foreclosure Prevention,Services,
Other Housing Services,Services,
Spiritual Care,Services,
Referral Services,Services,
Repairs,Services,
Temporary Housing,Services,
Housing Relocation,Services,
Disaster Relief Center,Services,
Disaster Relief Coordination,Services,
Training,Services,
Domestic Violence,Services,
Insurance Assistance,Services,
Volunteering,Services,
Weatherization,Services,
Mold/Muck-Out & Debris Cleaning,Services,
Construction,Services,
Financial Councelling,Services,
Other Services for Home Owners,Services,
Material Donations,,
Clothing,Material Donations,City materials directory - ben rose and zack hutchinson - seth knows them and karen will meet him soon
Food,Material Donations,
Furniture,Material Donations,
Rebuild Items,Material Donations,
Mattresses,Material Donations,
Appliances,Material Donations,
Household Goods,Material Donations,
Transportation Donations,Material Donations,
Other Material Donations,Material Donations,
Construction Supplies & Tools,Material Donations,
Debris and Clean-Up Supplies & Tools ,Material Donations,
Building Materials,Material Donations,
Other Material Donation for Housing,Material Donations,
Assistance for Organizations,,
Warehousing,Assistance for Organizations,
Volunteers Housing,Assistance for Organizations,
Volunteers Coordination,Assistance for Organizations,
Disaster Preparedness,Assistance for Organizations,
Donations Management ,Assistance for Organizations,
Resources for Non-profits,Assistance for Organizations,
Resources for Municipalities,Assistance for Organizations,
Resources for Faith-based Institutions ,Assistance for Organizations,
Non-Profit Financial Assistance,Assistance for Organizations,
Resources for Small Businesses,Assistance for Organizations,
Small Business Financial Assistance,Assistance for Organizations,
Federal,Recovery Programs,UMCOR for DCMs - ask Tom to join
City,Recovery Programs,Prerequisites vs. Documentation_Required
State,Recovery Programs,John Berglund from Salvation Army
NGO,Recovery Programs,UN experts
City Resources,City Resources,Darius and Marie
Government Agencies,City Resources,Link out to city resources
Elected Officials,City Resources,Link out to city resources
Media,City Resources,Link out to city resources
Community Boards,City Resources,Link out to city resources
Civic Organizations,City Resources,Link out to city resources
