name,service_id,alternative_name,parent_service_type,service_type,alt_type,short_desc ,description ,outcomes,how_to_access,organization,service_area,audience,eligibility,documentation_required,facilities,languages,urls,emails,phones,hours_available,staff_contacts,fees,method_of_payment,funding_sources,wait,Source,Last Updated,Notes
Access to Home Program,1,,Assistance for Organizations,"Resources for Non-profits, Non-profit Financial Assistance","Access and Functional Needs, Aging, Disabilities",State program that provides funding to non-profits for accessiblity-focused retrofits,"The Access to Home Program provides financial assistance to property owners to make dwelling units accessible for low- and moderate income persons with disabilities. Loans are made to non-profits and muncipalities, which then provide loans to homeowners. Adaptation work must meet the needs of those with physical disabilities and seniors with an age-related disability. Examples include: wheel chair ramps and lifts, handrails, easy-to-reach kitchen work and storage areas, lever handles on doors, roll-in showers with grab bars, etc.",Accessible dwelling units,"Once a NOFA is made available, applicants are encouraged to submit Access to Home Program application exhibits and attachments electronically over the web using the Community Development On-line application system (CDOL). Paper or OmniForm applications may also be submitted. Complete directions on use of the online application system are found on the website at www.nyshcr.org.",New York State Homes & Community Renewal,New York State,"Municipalities, Non-profits","Municipalities, Non-profits which have disabled service provision experience",Organizations must have been in existance for at least a year before applying; Must have experience providing services for the elderly and disabled,,,http://www.nyshcr.org/Programs/accesstohome/,,,,,,, Housing Trust Fund Corporation,,New York Hurricane Sandy Disaster Recovery Resources,,
Accessible Taxi Dispatch Program,2,,Services,Transporation Services,"Access and Functional Needs, Aging, Disabilities",Wheechair-accessible dispatch service (trips originating in Manhattan only),"• Wheelchair-accessible taxis respond to trips originating in Manhattan and ending anywhere
in New York City’s five boroughs.
• There are no extra costs to passengers. Passengers pay the regular metered taxi fare in New
York City from the point of pick-up to their destination.
• Accessible vehicles in the NYC fleet include both rear and side-entry minivans and side-entry
MV-1 mobility vehicles.
• All drivers who operate wheelchair-accessible taxicabs have been trained in wheelchair
assistance, boarding and de-boarding protocols, disability awareness and passenger
sensitivity.",Wheelchair accessible transportation,Five ways to request a wheelchair-accessible taxi: 1. Call 311 2. Call the dispatch center directly: (646) 599-9999 3. Text a request to: (646) 400-0789 4. Use free customized mobile app: WOW Taxi (Wheels on Wheels) 5. Order online at: www.accessibledispatch.com,Accessible Dispatch,Manhattan,"Disabled, Caregivers","Disabled and mobility impared individuals who are requesting a pickup in Manhattan for any destinations in 
the five boroughs of New York City, Westchester and Nassau counties, and Newark Airport",None,,,www.accessibledispatch.com,,(646) 599-9999,• Available 24/7; 365 days a year. No reservations necessary but readily accepted.,,Regular metered taxi fare,Credit card; Cash,,,New York Hurricane Sandy Disaster Recovery Resources,,text request to (646) 400-0789
 Medical Equipment/Supplies Service - AmeriCares,3,,Material Donations,Other Material Donations,"Access and Functional Needs, Aging, Disabilities",Partnering with Independent Living Services centers to provide medical equipment and supplies to those with functional medical needs/disabilities.,,"Medical equipment, Medical supplies",Those seeking items can participate in this program by making contact with either their local Independent Living Center (locations listed at www.acces.nysed.gov/vr/lsn/ilc/locations.htm) or a TRAID-in center (locations listed at cqc.ny.gov/advocacy/assistive-technology/traid-regional-offices).,AmeriCares,"Brooklyn, Manhattan, Bronx, Queens, Staten Island, New York State ","Disabled, Caregivers",,,"27 Smith Street, Suite 200 Brooklyn, NY 11201; 841 Broadway, Suite 301, New York, NY 10003; 80-02 Kew Gardens Road, #107, Kew Gardens, NY 11415; 470 Castleton Avenue, Staten Island, NY 10301; ",,http://www.acces.nysed.gov/vr/lsn/ilc/locations.htm,,(800) 673-2371; (718) 998-3000; (212) 674-2300; (646) 442-1520; (718) 720-9016,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Harlem

Christina Curry
Executive Director
Harlem Independent Living Center (HILC)
289 St. Nicholas Avenue, Suite 21 
Lower Level
New York, NY 10027
(212) 222-7122
1-800-673-2371 Toll Free
Website: www.hilc.orgexit site
Email contact: HarlemILC@aol.com
County(s) Served: New York
Brooklyn
Joan Peters 
Executive Director
Brooklyn Center for Independence of the Disabled (BCID)
27 Smith Street, Suite 200 
Brooklyn, NY 11201
(718) 998-3000
Website: www.bcid.orgexit site
County(s) Served: KingsManhattan

Susan Dooha
Executive Director
Center for Independence of the Disabled in New York (CIDNY)
841 Broadway, Suite 301
New York, NY 10003
(212) 674-2300
Website: www.cidny.orgexit site
Email contact: info@cidny.org 
County(s) Served: New YorkQueens

CIDNY Queens
80-02 Kew Gardens Road, #107 
Kew Gardens, NY 11415 
(646) 442-1520

Website: www.cidny.orgexit site
Email contact: info@cidny.org
County(s) Served: QueensStaten Island

Lorraine DeSantis 
Executive Director
Staten Island Center for Independent Living (SICIL)
470 Castleton Avenue
Staten Island, NY 10301
(718) 720-9016
Website: www.siciliving.orgexit site
Email contact: sicil@verizon.net
County(s) Served: Richmond"
Case Management - ANIBIC,4,,Services,Case Management,"Access and Functional Needs, Aging, Disabilities",Advocacy group/service provider for children and adults with developmental disabilities,"For over 50 years, The Association for Neurologically Impaired Brain Injured Children, ANIBIC, has been providing services to people with special needs. ANIBIC is dedicated to enabling individuals to reach their potential so that they may live as productively as possible. We encourage integration and inclusion in the community and are committed to a person-centered process as we work to serve consumers and their families. We offer a broad range of services for children as young as five and throughout adulthood. We understand that people with special needs are people first and that their individual challenges are just part of what makes them special.",Case Management services ,"Contact Intake Coordinator Peter Coleman: Pcoleman@anibic.org, 347-594-2147.",ANIBIC,New York State,"Disabled, Caregivers",Developmentally Disabled,Contact intake coordinator for more information,"6135 220th St, Oakland Gardens, NY 11364",,http://www.anibic.org/about-us,Pcoleman@anibic.org,(347) 594-2147,,Peter Coleman,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYS Justice Center for the Protection of People with Special Needs' Information & Referral Line ,5,,Services,"Referral Services, Adult Care, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Referral line for New York State residents seeking disability services,"The Information & Referral Line is a toll-free statewide service 
that provides assistance to callers who have questions or concerns about
 disability issues and connects individuals to services.  Inquiries that
 require a level of knowledge, subject expertise or technical assistance
 beyond the scope of Information and Referral staff are redirected to 
other Justice Center staff. The Justice Center is overseen by New York State.",Information about services, Call Toll-Free: 1-800-624-4143 (Voice)  TTY: Dial 7-1-1 for the NYS Relay and give the operator 1-800-624-4143Or email Information and Referral at: infoassistance@justicecenter.ny.gov ,NYS Justice Center for the Protection of People with Special Needs ,New York State,"Disabled, Caregivers",,,"161 Delaware Avenue, Delmar, New York 12054","Chinese, Hatian-Creole, Italian, Korean, Russian, Spanish",,infoassistance@justicecenter.ny.gov ,(800) 624-4143,8:30am-4:30pm,,,,New York State,,New York Hurricane Sandy Disaster Recovery Resources,,
Disabled American Veterans Disaster Relief Grants,6,,Financial Assistance,Individual Financial Assistance,"Access and Functional Needs, Aging, Disabilities","DAV Disaster relief grants may be issued for the purpose of providing food, clothing, temporary shelter or to obtain relief from injury, illness or personal loss not covered by insurance or other disaster relief agencies.",,"Food, clothing, temporary shelter","For application contact: Contact: DAV; Ft. Drum, Building 22070, Officer Loop; PO Box 664, Ft. Drum, NY 13602
• Telephone: 315-772-1021
• Telephone: 315-681-4124",Disabled American Veterans,New York State,"Disabled, Veterans, natural disaster victims",Disabled veterans affected by a disaster but not receiving assistance from insurance or another benefits program,"Documintation proving that the applicant is:
• the victim of a natural/national disaster.
• a service-connected disabled veteran or the spouse thereof (same household).
• not be covered by insurance.
• not be covered by other emergency relief agencies.","Building 22070, Officer Loop; PO Box 664, Ft. Drum, NY 13602",,,,(315) 772-1021; (315) 681-4124,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
DOROT - Homelessness Prevention Program and Aftercare,7,,Services,Housing Assistance,"Access and Functional Needs, Aging, Disabilities","DOROT's transitional residence in Manhattan, which offers temporary housing and assistance in finding a permanent home to seniors facing homelessness.","For seniors who are homeless or facing homelessness, DOROT’s Homelessness Prevention Program (HPP), a transitional residence in Manhattan, offers safe, temporary housing;  meals; counseling; and assistance in finding a permanent home. Volunteers contribute to the social atmosphere by serving meals and interacting with the residents. DOROT’s Aftercare program provides clients with ongoing services after they move into permanent housing.",Housing,Contact DOROT's Homelessness Prevention Program at (212) 580–0001. An interview with a DOROT social worker is required.,DOROT,New York State,"Seniors, Low-income, Homeless, Caregivers",Seniors facing homelessness,Age and income verification,"171 West 85th Street, New York, NY 10024",,http://www.dorotusa.org/site/PageServer?pagename=seniors_programs_homless_preven_D#.UyMu-4UfaAk,,(212) 580–0001,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
DOROT - Counseling/Case management,8,,Services,Case Management,"Access and Functional Needs, Aging, Disabilities",Dorot's counseling/case management services for seniors facing homelessness.,"For seniors who are homeless or facing homelessness, DOROT’s Homelessness Prevention Program (HPP), a transitional residence in Manhattan, offers safe, temporary housing;  meals; counseling; and assistance in finding a permanent home. Volunteers contribute to the social atmosphere by serving meals and interacting with the residents. DOROT’s Aftercare program provides clients with ongoing services after they move into permanent housing.","Counseling, Support services",Contact DOROT's Homelessness Prevention Program at (212) 580–0001. An interview with a DOROT social worker is required.,DOROT,New York State,"Seniors, Low-income, Homeless, Caregivers",Seniors facing homelessness,Age and income verification,"171 West 85th Street, New York, NY 10024",,http://www.dorotusa.org/site/PageServer?pagename=seniors_programs_homless_preven_D#.UyMu-4UfaAk,,(212) 580–0001,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
DOROT - Meal program,9,,Services,"Food/Meals & Pantry, Food","Access and Functional Needs, Aging, Disabilities",DOROT's Meals for Seniors,"For seniors who are homeless or facing homelessness, DOROT’s Homelessness Prevention Program (HPP), a transitional residence in Manhattan, offers safe, temporary housing;  meals; counseling; and assistance in finding a permanent home. Volunteers contribute to the social atmosphere by serving meals and interacting with the residents. DOROT’s Aftercare program provides clients with ongoing services after they move into permanent housing.",Food,Contact DOROT's Homelessness Prevention Program at (212) 580–0001. An interview with a DOROT social worker is required.,DOROT,New York State,"Seniors, Low-income, Homeless, Caregivers",Seniors,Age and income verification,"171 West 85th Street, New York, NY 10024",,http://www.dorotusa.org/site/PageServer?pagename=seniors_programs_homless_preven_D#.UyMu-4UfaAk,,(212) 580–0001,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Encore Community Services - Housing/Case Management,10,,Services,"Housing Assistance, Case Management","Access and Functional Needs, Aging, Disabilities",Encore housing/case management program,"Encore manages multiple senior facilities in the Times Square and Clinton communities in midtown Manhattan. In addition, Encore runs a on-site and home delivery meal program as well as a Senior Center. ",Housing,Contact Encore's administrative office at (212) 581-2910. ,Encore Community Services,Manhattan,"Seniors, Caregivers",Seniors,Age and income verification,"239 West 49th Street, New York, New York 10019",,http://encorecommunityservices.org,,(212) 581-2910,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Located at St. Malachy’s, The Actors’ Chapel, Administrative Offices, 239 West 49th Street New York, New York 10019"
